step,t,learning_rate,epoch,L_task_batch_t,L_reg_batch_t,L_full_batch_t,weights_norm_sq_t,grad_L_task_norm_sq_t,curvature_task_sq_t,lambda_measured_task_t,lambda_rayleigh_task_t,batch_size,L_task_test_t
20,0.02000000000000001,0.001,20,2.2939462661743164,0.0022967987060546874,2.296243064880371,45.93597412109375,0.20803524553775787,1.2126585418840679,1029.3181716983925,,6000,
21,0.02100000000000001,0.001,21,2.2937381267547607,0.0022967998504638673,2.2960349266052247,45.935997009277344,0.20804692804813385,1.212601906069517,1029.4240525606106,,6000,
22,0.022000000000000013,0.001,22,2.293530225753784,0.002296800422668457,2.2958270261764526,45.93600845336914,0.207986980676651,1.2125453246815008,1029.1754532043556,,6000,
23,0.023000000000000013,0.001,23,2.2933223247528076,0.002296800994873047,2.2956191257476806,45.93601989746094,0.20781368017196655,1.212488732849453,1028.3659115755402,,6000,
24,0.024000000000000014,0.001,24,2.293114423751831,0.0022968019485473633,2.2954112257003785,45.936038970947266,0.2077331840991974,1.2124321305717514,1028.0155673599768,,6000,
25,0.025000000000000015,0.001,25,2.2929067611694336,0.00229680290222168,2.2952035640716555,45.936058044433594,0.20772035419940948,1.2123755827756075,1028.0000215305658,,6000,
26,0.026000000000000016,0.001,26,2.292698860168457,0.0022968034744262696,2.2949956636428834,45.93606948852539,0.20756889879703522,1.212318959613714,1027.2984538483522,,6000,
27,0.027000000000000017,0.001,27,2.2924914360046387,0.0022968048095703126,2.294788240814209,45.93609619140625,0.20754843950271606,1.2122624559068662,1027.2450746523552,,6000,
28,0.028000000000000018,0.001,28,2.292283773422241,0.0022968055725097656,2.294580578994751,45.93611145019531,0.20752637088298798,1.2122058768310342,1027.183788741429,,6000,
29,0.02900000000000002,0.001,29,2.292076587677002,0.002296806335449219,2.2943733940124513,45.936126708984375,0.2074805498123169,1.2121494172788132,1027.0048239338128,,6000,
30,0.03000000000000002,0.001,30,2.2918689250946045,0.002296807289123535,2.294165732383728,45.9361457824707,0.20747573673725128,1.2120928173657244,1027.0289556941564,,6000,
31,0.03100000000000002,0.001,31,2.291661500930786,0.0022968088150024414,2.2939583097457885,45.93617630004883,0.2074076384305954,1.212036272020247,1026.7397596189958,,6000,
32,0.03200000000000002,0.001,32,2.2914540767669678,0.0022968099594116212,2.2937508867263796,45.93619918823242,0.20735670626163483,1.2119797162640717,1026.5355276777009,,6000,
33,0.03300000000000002,0.001,33,2.2912466526031494,0.0022968109130859374,2.2935434635162353,45.93621826171875,0.20720002055168152,1.2119231500955867,1025.8077199136228,,6000,
34,0.03400000000000002,0.001,34,2.29103946685791,0.002296811866760254,2.2933362787246705,45.93623733520508,0.20720575749874115,1.2118666385497125,1025.8839590470727,,6000,
35,0.035000000000000024,0.001,35,2.290832281112671,0.0022968135833740235,2.2931290946960448,45.93627166748047,0.20712418854236603,1.2118101166122355,1025.527938922018,,6000,
36,0.036000000000000025,0.001,36,2.2906253337860107,0.0022968149185180666,2.2929221487045286,45.93629837036133,0.20714204013347626,1.2117536493419885,1025.6641203232657,,6000,
37,0.037000000000000026,0.001,37,2.2904179096221924,0.0022968162536621097,2.2927147258758547,45.93632507324219,0.20708340406417847,1.2116970415560453,1025.4216869172744,,6000,
38,0.03800000000000003,0.001,38,2.2902112007141113,0.002296817398071289,2.2925080181121826,45.93634796142578,0.20705582201480865,1.2116406186028374,1025.3328528399854,,6000,
39,0.03900000000000003,0.001,39,2.290004014968872,0.0022968189239501954,2.2923008338928224,45.936378479003906,0.20690743625164032,1.2115840551068113,1024.6458859186605,,6000,
40,0.04000000000000003,0.001,40,2.289797067642212,0.0022968202590942384,2.292093887901306,45.936405181884766,0.20688800513744354,1.2115275463194242,1024.5974469138318,,6000,
41,0.04100000000000003,0.001,41,2.2895901203155518,0.002296821975708008,2.2918869422912596,45.936439514160156,0.2068754881620407,1.211471027154721,1024.5832555215698,,6000,
42,0.04200000000000003,0.001,42,2.2893834114074707,0.002296823310852051,2.291680234718323,45.936466217041016,0.20671024918556213,1.2114145627432746,1023.8126016124271,,6000,
43,0.04300000000000003,0.001,43,2.2891767024993896,0.0022968250274658206,2.2914735275268554,45.936500549316406,0.20670652389526367,1.211358087975214,1023.8418810119498,,6000,
44,0.04400000000000003,0.001,44,2.2889699935913086,0.002296826553344727,2.2912668201446533,45.93653106689453,0.20668156445026398,1.2113016028489432,1023.7659917108446,,6000,
45,0.04500000000000003,0.001,45,2.2887632846832275,0.0022968284606933597,2.2910601131439208,45.93656921386719,0.20668786764144897,1.2112451073628647,1023.8449660686032,,6000,
46,0.046000000000000034,0.001,46,2.2885565757751465,0.0022968299865722655,2.2908534057617187,45.93659973144531,0.20671354234218597,1.2111886015153819,1024.019919359656,,6000,
47,0.047000000000000035,0.001,47,2.2883498668670654,0.0022968318939208987,2.290646698760986,45.93663787841797,0.2066800445318222,1.2111320853048975,1023.9017545957823,,6000,
48,0.048000000000000036,0.001,48,2.2881431579589844,0.0022968336105346683,2.290439991569519,45.93667221069336,0.20663481950759888,1.2110755587298145,1023.725487735806,,6000,
49,0.04900000000000004,0.001,49,2.2879364490509033,0.002296835517883301,2.2902332845687865,45.936710357666016,0.2065846174955368,1.2110190217885357,1023.5245546701741,,6000,
50,0.05000000000000004,0.001,50,2.2877302169799805,0.0022968372344970706,2.2900270542144776,45.936744689941406,0.2064291536808014,1.2109626049350148,1022.8019569202761,,6000,
51,0.05100000000000004,0.001,51,2.2875237464904785,0.0022968393325805666,2.289820585823059,45.93678665161133,0.20637866854667664,1.21090611252019,1022.5995215293073,,6000,
52,0.05200000000000004,0.001,52,2.2873172760009766,0.0022968414306640626,2.2896141174316407,45.93682861328125,0.20637062191963196,1.2108496097582926,1022.6073672063729,,6000,
53,0.05300000000000004,0.001,53,2.2871110439300537,0.002296843147277832,2.2894078870773313,45.93686294555664,0.2063545286655426,1.2107931619113321,1022.5752927434563,,6000,
54,0.05400000000000004,0.001,54,2.2869045734405518,0.002296845245361328,2.289201418685913,45.93690490722656,0.20633171498775482,1.2107366384624656,1022.5099750005693,,6000,
55,0.05500000000000004,0.001,55,2.286698341369629,0.0022968473434448245,2.288995188713074,45.936946868896484,0.20635101199150085,1.2106801699492467,1022.6533007482135,,6000,
56,0.05600000000000004,0.001,56,2.286491870880127,0.0022968496322631838,2.28878872051239,45.93699264526367,0.2062956839799881,1.2106236258070484,1022.4268529823054,,6000,
57,0.057000000000000044,0.001,57,2.286285877227783,0.0022968513488769533,2.2885827285766602,45.93702697753906,0.20624598860740662,1.2105672019325984,1022.2281998627446,,6000,
58,0.058000000000000045,0.001,58,2.2860794067382812,0.002296854019165039,2.2883762607574463,45.93708038330078,0.2060900330543518,1.210510637102666,1021.5029595161147,,6000,
59,0.059000000000000045,0.001,59,2.2858734130859375,0.0022968561172485354,2.288170269203186,45.9371223449707,0.20604920387268066,1.2104541925850882,1021.3482102910551,,6000,
60,0.060000000000000046,0.001,60,2.2856674194335938,0.0022968582153320314,2.2879642776489257,45.937164306640625,0.20592698454856873,1.210397737755505,1020.7900004692427,,6000,
61,0.06100000000000005,0.001,61,2.285461664199829,0.0022968605041503907,2.2877585247039796,45.93721008300781,0.20587942004203796,1.2103413379714711,1020.6017769520687,,6000,
62,0.06200000000000005,0.001,62,2.2852556705474854,0.002296863174438477,2.287552533721924,45.93726348876953,0.20592036843299866,1.2102848625250702,1020.8524033096373,,6000,
63,0.06300000000000004,0.001,63,2.2850499153137207,0.0022968656539916993,2.2873467809677126,45.937313079833984,0.20586317777633667,1.2102284421449236,1020.6164585496566,,6000,
64,0.06400000000000004,0.001,64,2.284843683242798,0.0022968677520751953,2.2871405509948732,45.937355041503906,0.20580323040485382,1.2101718806804347,1020.3669430286463,,6000,
65,0.06500000000000004,0.001,65,2.284637928009033,0.0022968706130981446,2.2869347986221316,45.93741226196289,0.20578357577323914,1.2101154396859295,1020.3170822776101,,6000,
66,0.06600000000000004,0.001,66,2.2844321727752686,0.002296873092651367,2.28672904586792,45.937461853027344,0.20578397810459137,1.210058988393807,1020.3666767241273,,6000,
67,0.06700000000000005,0.001,67,2.284226655960083,0.0022968753814697268,2.286523531341553,45.93750762939453,0.20575971901416779,1.2100025922332387,1020.2939415249076,,6000,
68,0.06800000000000005,0.001,68,2.2840209007263184,0.0022968784332275394,2.2863177791595457,45.93756866455078,0.20572641491889954,1.2099461203530877,1020.1764101307135,,6000,
69,0.06900000000000005,0.001,69,2.2838151454925537,0.0022968807220458986,2.2861120262145995,45.93761444091797,0.20558442175388336,1.2098896381705906,1019.5198732244863,,6000,
70,0.07000000000000005,0.001,70,2.283609628677368,0.002296883773803711,2.285906512451172,45.93767547607422,0.2055283635854721,1.2098332111507188,1019.2894112568765,,6000,
71,0.07100000000000005,0.001,71,2.2834038734436035,0.0022968860626220704,2.2857007595062258,45.937721252441406,0.2054484337568283,1.2097767083707378,1018.9405978902431,,6000,
72,0.07200000000000005,0.001,72,2.283198595046997,0.002296889114379883,2.285495484161377,45.937782287597656,0.20545808970928192,1.2097203262645118,1019.0359800453122,,6000,
73,0.07300000000000005,0.001,73,2.2829930782318115,0.002296892166137695,2.2852899703979492,45.937843322753906,0.2054598331451416,1.2096638683950318,1019.0921883997909,,6000,
74,0.07400000000000005,0.001,74,2.282787799835205,0.002296894645690918,2.285084694480896,45.93789291381836,0.20541024208068848,1.209607465753466,1018.893721622683,,6000,
75,0.07500000000000005,0.001,75,2.2825822830200195,0.002296897888183594,2.284879180908203,45.937957763671875,0.20547445118427277,1.2095509873216546,1019.2598080016176,,6000,
76,0.07600000000000005,0.001,76,2.282376766204834,0.0022969005584716796,2.2846736667633056,45.938011169433594,0.20542915165424347,1.2094944986003524,1019.0826922750103,,6000,
77,0.07700000000000005,0.001,77,2.2821714878082275,0.0022969038009643555,2.2844683916091917,45.93807601928711,0.20544876158237457,1.209438065138048,1019.2275280781286,,6000,
78,0.07800000000000006,0.001,78,2.281965970993042,0.002296906661987305,2.284262877655029,45.938133239746094,0.20541802048683167,1.2093815558449885,1019.1226391408318,,6000,
79,0.07900000000000006,0.001,79,2.2817606925964355,0.0022969095230102542,2.2840576021194456,45.93819046020508,0.20529694855213165,1.2093251018316533,1018.5695223287134,,6000,
80,0.08000000000000006,0.001,80,2.281555414199829,0.0022969129562377933,2.2838523271560667,45.93825912475586,0.20533634722232819,1.2092686375464148,1018.8125657783638,,6000,
81,0.08100000000000006,0.001,81,2.2813498973846436,0.0022969161987304687,2.283646813583374,45.938323974609375,0.20533283054828644,1.209212097389909,1018.8427538468983,,6000,
82,0.08200000000000006,0.001,82,2.281144618988037,0.002296918869018555,2.2834415378570556,45.938377380371094,0.20529572665691376,1.209155612544225,1018.7062336415613,,6000,
83,0.08300000000000006,0.001,83,2.2809393405914307,0.0022969221115112307,2.283236262702942,45.93844223022461,0.20532411336898804,1.209099117421933,1018.8946980961388,,6000,
84,0.08400000000000006,0.001,84,2.280734062194824,0.002296925735473633,2.2830309879302977,45.938514709472656,0.205243781208992,1.209042612021464,1018.5436600906918,,6000,
85,0.08500000000000006,0.001,85,2.2805287837982178,0.002296929168701172,2.282825712966919,45.93858337402344,0.20520837604999542,1.2089860963412509,1018.4155632774434,,6000,
86,0.08600000000000006,0.001,86,2.2803235054016113,0.002296932411193848,2.282620437812805,45.93864822387695,0.20512600243091583,1.2089295703797254,1018.0543554732589,,6000,
87,0.08700000000000006,0.001,87,2.280118465423584,0.00229693603515625,2.2824154014587403,45.938720703125,0.20516462624073029,1.2088730998047506,1018.2936138153814,,6000,
88,0.08800000000000006,0.001,88,2.2799134254455566,0.002296939277648926,2.2822103647232055,45.938785552978516,0.20513227581977844,1.2088166189692044,1018.1806202897894,,6000,
89,0.08900000000000007,0.001,89,2.27970814704895,0.002296942710876465,2.2820050897598265,45.9388542175293,0.20508520305156708,1.2087600621782273,1017.9946019162636,,6000,
90,0.09000000000000007,0.001,90,2.279503345489502,0.0022969465255737306,2.2818002920150757,45.93893051147461,0.20504054427146912,1.2087036265101467,1017.8204471685575,,6000,
91,0.09100000000000007,0.001,91,2.2792980670928955,0.0022969497680664064,2.2815950168609618,45.938995361328125,0.20506149530410767,1.2086470491663392,1017.9720975393845,,6000,
92,0.09200000000000007,0.001,92,2.279093027114868,0.0022969533920288087,2.281389980506897,45.93906784057617,0.2051776945590973,1.2085905272609387,1018.5965714497053,,6000,
93,0.09300000000000007,0.001,93,2.2788877487182617,0.0022969572067260743,2.281184705924988,45.939144134521484,0.205160453915596,1.2085339293460864,1018.558679738206,,6000,
94,0.09400000000000007,0.001,94,2.2786827087402344,0.0022969606399536133,2.280979669380188,45.939212799072266,0.20513486862182617,1.2084773868904026,1018.4793071701719,,6000,
95,0.09500000000000007,0.001,95,2.278477430343628,0.002296964645385742,2.2807743949890136,45.939292907714844,0.20510610938072205,1.2084207683982369,1018.3842321044702,,6000,
96,0.09600000000000007,0.001,96,2.2782723903656006,0.002296968460083008,2.2805693588256837,45.939369201660156,0.2050713151693344,1.2083642053860084,1018.2591353928345,,6000,
97,0.09700000000000007,0.001,97,2.2780673503875732,0.0022969720840454104,2.280364322471619,45.9394416809082,0.20506441593170166,1.208307632099134,1018.2725515460988,,6000,
98,0.09800000000000007,0.001,98,2.277862310409546,0.0022969755172729494,2.280159285926819,45.939510345458984,0.2050524652004242,1.2082510485360487,1018.2608926292507,,6000,
99,0.09900000000000007,0.001,99,2.2776572704315186,0.0022969797134399414,2.2799542501449586,45.93959426879883,0.2049974799156189,1.2081944546951897,1018.0355279018568,,6000,
100,0.10000000000000007,0.001,100,2.2774524688720703,0.002296984100341797,2.2797494529724123,45.93968200683594,0.2048892378807068,1.208137916399707,1017.5456051803283,,6000,2.28869482421875
101,0.10100000000000008,0.001,101,2.277247428894043,0.0022969877243041994,2.279544416618347,45.939754486083984,0.20488010346889496,1.2080813020105634,1017.5479239414807,,6000,
102,0.10200000000000008,0.001,102,2.2770426273345947,0.002296991729736328,2.279339619064331,45.93983459472656,0.20480890572071075,1.2080247431875684,1017.2419408246029,,6000,
103,0.10300000000000008,0.001,103,2.2768378257751465,0.0022969955444335937,2.27913482131958,45.939910888671875,0.20482102036476135,1.207968174104449,1017.3497518671439,,6000,
